"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-05","43","50","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-06","49","51","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-07","47","52","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-08","45","48","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-09","43","48","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-10","42","48","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-11","41","48","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-12","46","48","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-13","43","48","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-14","44","50","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-15","44","46","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-16","43","48","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-17","41","48","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-18","40","48","31"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-19","41","55","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-20","48","58","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-21","45","54","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-22","45","47","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-23","45","48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-24","43","50","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-25","43","51","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-26","47","53","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-27","47","57","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-28","45","50","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-02-29","44","49","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-01","40","47","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-02","44","48","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-03","49","53","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-04","46","52","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-05","46","56","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-06","43","43","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-07","42","45","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-08","40","49","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-09","40","50","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-10","43","51","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-11","47","51","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-12","44","52","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-13","41","43","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-14","38","44","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-15","37","46","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-16","43","55","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-17","44","54","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-18","44","56","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-19","47","61","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-20","51","62","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-21","48","56","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-22","47","58","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-23","45","51","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-24","43","50","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-25","42","49","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-26","43","49","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-27","45","50","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-28","49","54","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-29","49","55","46"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-30","47","50","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-03-31","43","50","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-01","43","52","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-02","43","51","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-03","43","50","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-04","42","56","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-05","48","56","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-06","49","60","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-07","48","56","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-08","50","63","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-09","54","69","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-10","55","64","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-11","51","60","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-12","50","60","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-13","50","64","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-14","53","64","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-15","54","66","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-16","57","70","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-17","57","71","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-18","54","57","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-19","53","65","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-20","55","67","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-21","53","58","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-22","52","54","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-23","52","59","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-24","53","60","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-25","56","62","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-26","53","62","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-27","55","63","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-28","53","63","45"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-29","56","70","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-04-30","55","58","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-01","52","66","43"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-02","57","58","47"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-03","49","57","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-04","51","65","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-05","57","71","49"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-06","57","62","48"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-07","55","68","44"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-08","62","80","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-09","73","86","62"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-10","76","87","62"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-11","69","74","54"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-12","57","65","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-13","56","65","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-14","56","67","50"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-15","58","68","52"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2020-05-16","59","64","54"
