"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-01","40","43","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-02","25","45","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-03","42","47","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-04","46","50","42"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-05","41","44","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-06","37","41","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-07","43","46","40"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-08","41","46","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-09","40","44","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-10","35","36","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-11","36","37","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-12","35","38","32"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-13","38","40","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-14","41","44","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-15","39","43","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-16","43","50","36"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-17","42","49","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-18","36","41","30"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-19","37","44","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-20","41","47","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-21","44","48","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-22","42","46","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-23","40","46","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-24","42","51","33"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-25","43","48","38"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-26","40","44","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-27","41","47","35"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-28","39","48","29"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-29","43","52","34"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-30","43","47","39"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-01-31","44","50","37"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-02-01","45","49","41"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2000-02-02","42","46","38"
